Time,Blank,1,2,3,4,5
1.266,0,0.072,0.069,0.139,0.127,0.142
30.1,0,0.073,0.068,0.142,0.126,0.147
60.1,0,0.072,0.068,0.151,0.135,0.157
90.1,0,0.073,0.068,0.159,0.141,0.167
120.1,0,0.072,0.068,0.166,0.147,0.176
150.1,0,0.071,0.068,0.177,0.155,0.191
180.1,0,0.072,0.069,0.193,0.168,0.208
210.1,0,0.073,0.069,0.212,0.184,0.23
240.1,0,0.072,0.069,0.231,0.202,0.254
270.1,0,0.073,0.069,0.25,0.219,0.279
300.1,0,0.075,0.071,0.275,0.24,0.311
330.1,0,0.075,0.07,0.303,0.263,0.345
360.1,0,0.074,0.07,0.331,0.286,0.376
390.1,0,0.075,0.07,0.364,0.315,0.409
420.1,0,0.075,0.07,0.397,0.343,0.44
450.1,0,0.075,0.07,0.431,0.372,0.471
480.1,0,0.074,0.07,0.461,0.401,0.497
510.1,0,0.073,0.07,0.486,0.427,0.521
540.1,0,0.078,0.073,0.514,0.454,0.548
570.1,0,0.075,0.071,0.536,0.474,0.567
600.1,0,0.072,0.07,0.563,0.499,0.587
630.1,0,0.072,0.07,0.582,0.519,0.604
660.1,0,0.074,0.071,0.596,0.538,0.618
690.1,0,0.075,0.071,0.616,0.56,0.634
720.1,0,0.076,0.073,0.628,0.572,0.649
750.1,0,0.072,0.07,0.635,0.584,0.655
780.1,0,0.074,0.071,0.647,0.595,0.666
810.1,0,0.071,0.07,0.662,0.61,0.679
840.1,0,0.073,0.071,0.678,0.628,0.691
870.1,0,0.071,0.068,0.679,0.632,0.696
900.1,0,0.072,0.07,0.692,0.645,0.705
930.1,0,0.074,0.072,0.694,0.646,0.71
960.1,0,0.071,0.071,0.702,0.655,0.717
990.1,0,0.073,0.072,0.711,0.663,0.725
1020.1,0,0.074,0.072,0.726,0.682,0.739
1050.1,0,0.073,0.071,0.721,0.678,0.737
1080.1,0,0.074,0.072,0.725,0.683,0.743
1110.1,0,0.073,0.071,0.736,0.695,0.75
1140.1,0,0.074,0.07,0.743,0.703,0.755
1170.1,0,0.074,0.074,0.745,0.707,0.762
1200.1,0,0.074,0.073,0.753,0.714,0.767
1230.1,0,0.072,0.069,0.749,0.714,0.764
1260.1,0,0.073,0.072,0.752,0.717,0.767
1290.1,0,0.079,0.076,0.755,0.72,0.773
1320.1,0,0.073,0.071,0.761,0.731,0.775
1350.1,0,0.078,0.074,0.768,0.735,0.782
1380.1,0,0.074,0.069,0.772,0.742,0.787
1410.1,0,0.075,0.07,0.764,0.737,0.784
1440.1,0,0.076,0.071,0.776,0.747,0.791
1470.1,0,0.073,0.068,0.774,0.747,0.789
1500.1,0,0.074,0.069,0.776,0.75,0.792
1530.1,0,0.073,0.069,0.778,0.753,0.794
1560.1,0,0.075,0.073,0.78,0.759,0.798
1590.1,0,0.076,0.071,0.786,0.764,0.8
1620.1,0,0.073,0.068,0.78,0.76,0.798
1650.1,0,0.077,0.071,0.785,0.77,0.799
1680.1,0,0.074,0.068,0.784,0.768,0.803
1710.1,0,0.078,0.074,0.785,0.771,0.805
1740.1,0,0.077,0.071,0.783,0.769,0.806
1770.1,0,0.077,0.07,0.783,0.771,0.804
1800.1,0,0.077,0.069,0.784,0.774,0.806
1830.1,0,0.075,0.069,0.781,0.772,0.806
1860.1,0,0.076,0.07,0.777,0.772,0.805
1890.1,0,0.081,0.074,0.778,0.778,0.807
1920.1,0,0.077,0.068,0.77,0.77,0.8
1950.1,0,0.079,0.068,0.769,0.771,0.801
1980.1,0,0.075,0.068,0.765,0.775,0.802
2010.1,0,0.076,0.069,0.763,0.775,0.803
2040.1,0,0.079,0.071,0.754,0.773,0.799
2070.1,0,0.082,0.069,0.75,0.773,0.799
2100.1,0,0.08,0.068,0.739,0.769,0.794
2130.1,0,0.08,0.07,0.737,0.777,0.795
2160.1,0,0.082,0.068,0.729,0.775,0.792
2190.1,0,0.082,0.068,0.721,0.772,0.792
2220.1,0,0.083,0.07,0.708,0.768,0.786
2250.1,0,0.087,0.068,0.701,0.77,0.785
2280.1,0,0.087,0.069,0.691,0.768,0.781
2310.1,0,0.088,0.068,0.68,0.765,0.777
2340.1,0,0.092,0.068,0.67,0.761,0.773
2370.1,0,0.095,0.07,0.661,0.762,0.77
2400.1,0,0.097,0.069,0.652,0.758,0.765
2430.1,0,0.1,0.068,0.646,0.756,0.762
2460.1,0,0.102,0.071,0.64,0.756,0.755
2490.1,0,0.106,0.069,0.633,0.747,0.749
2520.1,0,0.107,0.069,0.629,0.748,0.746
2550.1,0,0.11,0.071,0.624,0.745,0.739
2580.1,0,0.11,0.068,0.621,0.738,0.731
2610.1,0,0.112,0.069,0.618,0.734,0.724
2640.1,0,0.113,0.069,0.614,0.733,0.718
2670.1,0,0.123,0.07,0.616,0.726,0.715
2700.1,0,0.115,0.069,0.61,0.719,0.705
2730.1,0,0.127,0.07,0.612,0.714,0.703
2760.1,0,0.125,0.069,0.612,0.714,0.7
2790.1,0,0.127,0.069,0.613,0.71,0.696
2820.1,0,0.128,0.071,0.611,0.704,0.692
2850.1,0,0.128,0.069,0.609,0.699,0.687
2880.1,0,0.126,0.071,0.609,0.692,0.683
2910.1,0,0.129,0.073,0.604,0.685,0.68
2940.1,0,0.133,0.07,0.608,0.685,0.679
2970.1,0,0.132,0.07,0.605,0.679,0.675
3000.1,0,0.135,0.07,0.606,0.677,0.676
3030.1,0,0.137,0.071,0.606,0.673,0.675
3060.1,0,0.134,0.07,0.605,0.669,0.673
3090.1,0,0.136,0.07,0.603,0.663,0.668
3120.1,0,0.139,0.072,0.605,0.663,0.671
3150.1,0,0.136,0.071,0.604,0.658,0.668
3180.1,0,0.139,0.072,0.602,0.656,0.666
3210.1,0,0.136,0.07,0.599,0.651,0.662
3240.1,0,0.142,0.07,0.601,0.65,0.665
3270.1,0,0.141,0.072,0.599,0.647,0.663
3300.1,0,0.141,0.07,0.599,0.645,0.661
3330.1,0,0.141,0.073,0.598,0.643,0.66
3360.1,0,0.141,0.07,0.597,0.64,0.659
3390.1,0,0.139,0.071,0.596,0.638,0.657
3420.1,0,0.141,0.071,0.595,0.637,0.658
3450.1,0,0.141,0.071,0.594,0.636,0.657
3480.1,0,0.143,0.071,0.594,0.635,0.656
3510.1,0,0.143,0.07,0.592,0.632,0.653
3540.1,0,0.146,0.071,0.595,0.635,0.655
3570.1,0,0.139,0.071,0.589,0.63,0.652