Label,Info,strain,name,media,condition,techrep,biorep
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,1,3
,,HV187,trmB-HA,HvCa+ura50,glu01,1,3
,,HV187,trmB-HA,HvCa+ura50,glu01,1,1
,,HV284,parent+p,HvCa+ura50+nov10,,1,3
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,1,1
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,1,1
,,blank,blank,HvCa+ura50,,,
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,HV35,parent,HvCa+ura50,,1,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,1,2
,,HV287,_trmB+p,HvCa+ura50+nov10,,1,1
,,HV35,parent,HvCa+ura50,,1,3
,,HV284,parent+p,HvCa+ura50+nov10,glu01,1,1
,,HV187,trmB-HA,HvCa+ura50,,1,1
,,HV208,_trmB,HvCa+ura50,glu01,1,3
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,1,1
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,1,1
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,1,3
,,HV35,parent,HvCa+ura50,glu01,1,1
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,1,3
,,HV187,trmB-HA,HvCa+ura50,glu01,1,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,1,1
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,1,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,1,3
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,1,2
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,1,1
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,2,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,1,2
,,HV35,parent,HvCa+ura50,glu01,1,3
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,2,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,1,2
,,HV187,trmB-HA,HvCa+ura50,glu01,2,1
,,HV208,_trmB,HvCa+ura50,glu01,1,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,2,1
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,1,1
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,2,1
,,HV284,parent+p,HvCa+ura50+nov10,glu01,1,2
,,HV208,_trmB,HvCa+ura50,glu01,2,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,2,3
,,HV208,_trmB,HvCa+ura50,glu01,2,3
,,HV187,trmB-HA,HvCa+ura50,,1,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,3,1
,,HV287,_trmB+p,HvCa+ura50+nov10,,1,3
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,1,1
,,blank,blank,HvCa+ura50,glu01,,
,,HV187,trmB-HA,HvCa+ura50,glu01,2,2
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,3,1
,,HV35,parent,HvCa+ura50,glu01,1,2
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,1,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,1,2
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,1,3
,,HV284,parent+p,HvCa+ura50+nov10,,1,1
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,2,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,1,3
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,2,2
,,HV208,_trmB,HvCa+ura50,,1,3
,,HV287,_trmB+p,HvCa+ura50+nov10,,1,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,2,2
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,2,3
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,2,3
,,HV35,parent,HvCa+ura50,glu01,2,2
,,HV208,_trmB,HvCa+ura50,,1,1
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,2,3
,,HV208,_trmB,HvCa+ura50,,1,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,2,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,3,3
,,HV284,parent+p,HvCa+ura50+nov10,,2,1
,,HV35,parent,HvCa+ura50,,2,2
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,2,1
,,HV35,parent,HvCa+ura50,,1,1
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,3,2
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,2,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,1,3
,,HV187,trmB-HA,HvCa+ura50,,2,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,1,3
,,HV35,parent,HvCa+ura50,,3,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,2,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,3,2
,,blank,blank,HvCa+ura50,glu01,,
,,blank,blank,HvCa+ura50,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,HV284,parent+p,HvCa+ura50+nov10,glu01,2,1
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,2,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,1,2
,,HV284,parent+p,HvCa+ura50+nov10,glu01,3,1
,,HV35,parent,HvCa+ura50,glu01,3,2
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,2,3
,,blank,blank,HvCa+ura50,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,blank,blank,HvCa+ura50,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,HV35,parent,HvCa+ura50,glu01,2,1
,,HV187,trmB-HA,HvCa+ura50,,1,3
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,2,3
,,HV208,_trmB,HvCa+ura50,glu01,3,2
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,2,1
,,HV35,parent,HvCa+ura50,,2,3
,,blank,blank,HvCa+ura50+nov10,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,blank,blank,HvCa+ura50+nov10,,,
,,HV187,trmB-HA,HvCa+ura50,,3,1
,,HV287,_trmB+p,HvCa+ura50+nov10,,2,2
,,HV35,parent,HvCa+ura50,glu01,3,1
,,HV187,trmB-HA,HvCa+ura50,glu01,2,3
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,2,1
,,HV35,parent,HvCa+ura50,glu01,2,3
,,HV284,parent+p,HvCa+ura50+nov10,glu01,1,3
,,HV284,parent+p,HvCa+ura50+nov10,,1,2
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,blank,blank,HvCa+ura50+nov10,,,
,,HV208,_trmB,HvCa+ura50,,2,2
,,HV35,parent,HvCa+ura50,,3,3
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,3,3
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,3,2
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,2,2
,,HV287,_trmB+p,HvCa+ura50+nov10,,2,1
,,HV208,_trmB,HvCa+ura50,glu01,3,3
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,2,3
,,HV208,_trmB,HvCa+ura50,,3,2
,,HV208,_trmB,HvCa+ura50,glu01,1,1
,,HV187,trmB-HA,HvCa+ura50,,2,2
,,HV208,_trmB,HvCa+ura50,,2,1
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,3,3
,,HV187,trmB-HA,HvCa+ura50,glu01,3,3
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,1,1
,,HV208,_trmB,HvCa+ura50,,3,1
,,HV208,_trmB,HvCa+ura50,,2,3
,,HV284,parent+p,HvCa+ura50+nov10,glu01,2,3
,,blank,blank,HvCa+ura50+nov10,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,HV287,_trmB+p,HvCa+ura50+nov10,,3,2
,,HV187,trmB-HA,HvCa+ura50,glu01,3,2
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,2,3
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,2,1
,,HV287,_trmB+p,HvCa+ura50+nov10,,2,3
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,3,1
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,3,2
,,HV284,parent+p,HvCa+ura50+nov10,glu01,2,2
,,HV35,parent,HvCa+ura50,glu01,3,3
,,HV208,_trmB,HvCa+ura50,,3,3
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,3,3
,,HV284,parent+p,HvCa+ura50+nov10,,2,3
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,3,1
,,HV287,_trmB+p,HvCa+ura50+nov10,glu01,3,1
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,1,2
,,HV187,trmB-HA,HvCa+ura50,glu01,3,1
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,2,2
,,HV284,parent+p,HvCa+ura50+nov10,glu01,3,2
,,blank,blank,HvCa+ura50+nov10,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,3,1
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,2,2
,,HV284,parent+p,HvCa+ura50+nov10,,3,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,3,3
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,3,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,3,2
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,3,1
,,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,3,2
,,HV35,parent,HvCa+ura50,,2,1
,,HV208,_trmB,HvCa+ura50,glu01,2,1
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,3,2
,,HV187,trmB-HA,HvCa+ura50,,3,2
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,3,3
,,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,3,3
,,blank,blank,HvCa+ura50+nov10,,,
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,1,3
,,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,3,1
,,HV208,_trmB,HvCa+ura50,glu01,3,1
,,blank,blank,HvCa+ura50+nov10,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,2,3
,,HV284,parent+p,HvCa+ura50+nov10,,3,3
,,HV287,_trmB+p,HvCa+ura50+nov10,,3,1
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,3,3
,,HV284,parent+p,HvCa+ura50+nov10,,2,2
,,HV187,trmB-HA,HvCa+ura50,,2,3
,,HV284,parent+p,HvCa+ura50+nov10,glu01,3,3
,,HV287,_trmB+p,HvCa+ura50+nov10,,3,3
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,blank,blank,HvCa+ura50+nov10,,,
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,HV187,trmB-HA,HvCa+ura50,,3,3
,,HV284,parent+p,HvCa+ura50+nov10,,3,2
,,HV285,parent+ptrmB,HvCa+ura50+nov10,,3,2
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,3,2
,,HV35,parent,HvCa+ura50,,3,1
,,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,3,3
,,blank,blank,HvCa+ura50+nov10,glu01,,
,,blank,blank,HvCa+ura50+nov10,,,